,Feature
0,MSSubClass
1,MSZoning
2,LotFrontage
3,LotArea
4,Street
5,Alley
6,LotShape
7,LandContour
8,Utilities
9,LotConfig
10,LandSlope
11,Neighborhood
12,Condition1
13,Condition2
14,BldgType
15,HouseStyle
16,OverallQual
17,OverallCond
18,YearBuilt
19,YearRemodAdd
20,RoofStyle
21,RoofMatl
22,Exterior1st
23,Exterior2nd
24,MasVnrType
25,MasVnrArea
26,ExterQual
27,ExterCond
28,Foundation
29,BsmtQual
30,BsmtCond
31,BsmtExposure
32,BsmtFinType1
33,BsmtFinSF1
34,BsmtFinType2
35,BsmtFinSF2
36,BsmtUnfSF
37,TotalBsmtSF
38,Heating
39,HeatingQC
40,CentralAir
41,Electrical
42,1stFlrSF
43,2ndFlrSF
44,LowQualFinSF
45,GrLivArea
46,BsmtFullBath
47,BsmtHalfBath
48,FullBath
49,HalfBath
50,BedroomAbvGr
51,KitchenAbvGr
52,KitchenQual
53,TotRmsAbvGrd
54,Functional
55,Fireplaces
56,FireplaceQu
57,GarageType
58,GarageYrBlt
59,GarageFinish
60,GarageCars
61,GarageArea
62,GarageQual
63,GarageCond
64,PavedDrive
65,WoodDeckSF
66,OpenPorchSF
67,EnclosedPorch
68,3SsnPorch
69,ScreenPorch
70,PoolArea
71,PoolQC
72,Fence
73,MiscFeature
74,MiscVal
75,MoSold
76,YrSold
77,SaleType
78,SaleCondition
79,SalePrice
